City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,kavaratti,10.5669,72.642,27.58,78,78,5.02,IN,1693256041
130,constitucion,-35.3333,-72.4167,11.85,90,99,2.39,CL,1693256041
131,tolanaro,-25.0319,46.9987,20.04,64,40,6.17,MG,1693256041
132,kralendijk,12.15,-68.2667,32.99,62,0,7.72,BQ,1693256041
133,port elizabeth,-33.918,25.5701,17.16,88,0,5.14,ZA,1693256042
134,linden,6.0,-58.3,30.32,58,100,3.6,GY,1693255974
135,petra,30.3222,35.4793,20.25,53,0,2.45,JO,1693255910
136,vilyuysk,63.7553,121.6247,15.78,73,81,2.25,RU,1693256042
137,grafton,42.207,-71.6856,24.15,73,0,3.6,US,1693255879
138,anadyr,64.75,177.4833,10.28,81,20,6.0,RU,1693256043
139,kambia,9.1167,-12.9167,23.69,97,100,3.2,SL,1693256044
140,lhasa,29.65,91.1,13.37,75,86,2.05,CN,1693256044
141,cill airne,52.05,-9.5167,13.59,85,90,1.48,IE,1693256044
142,reggane,26.7158,0.1714,35.61,23,24,2.39,DZ,1693256045
143,invercargill,-46.4,168.35,9.45,97,100,4.92,NZ,1693255842
144,northwest harborcreek,42.1494,-79.9946,24.4,67,0,5.14,US,1693256045
145,koryazhma,61.3143,47.1691,5.23,95,17,1.19,RU,1693256045
146,gadzhiyevo,69.2551,33.3362,9.6,83,100,1.84,RU,1693256046
147,jianshui,23.6363,102.8264,17.87,93,98,1.61,CN,1693256046
148,tsagan aman,47.5639,46.7218,16.91,51,53,4.88,RU,1693256046
149,horta,38.5333,-28.6333,23.34,91,20,9.26,PT,1693256046
150,udachny,66.4167,112.4,11.36,100,100,2.14,RU,1693256047
151,nagtipunan,16.2167,121.6,23.5,98,100,1.39,PH,1693256047
152,minas de marcona,-15.2119,-75.1103,18.26,59,2,5.51,PE,1693256047
153,gizo,-8.103,156.8419,26.49,82,95,8.48,SB,1693256047
154,nikolayevsk-on-amure,53.1406,140.73,14.04,76,0,1.41,RU,1693256048
155,victoria falls,-17.9235,25.843,17.53,54,60,2.13,ZW,1693256048
156,hithadhoo,-0.6,73.0833,27.59,77,56,4.06,MV,1693256048
157,lincoln city,44.9582,-124.0179,19.83,80,67,3.34,US,1693256048
158,ola,59.5833,151.2833,12.47,71,14,3.08,RU,1693256048
159,zalaegerszeg,46.84,16.8439,20.77,74,98,3.99,HU,1693256048
160,prince rupert,54.3161,-130.3201,20.05,77,0,3.09,CA,1693256049
161,agat village,13.3886,144.6585,27.52,92,75,0.0,GU,1693256049
162,vyritsa,59.4078,30.3481,15.73,96,100,2.79,RU,1693256049
163,francistown,-21.17,27.5079,14.05,46,28,7.44,BW,1693256049
164,san marcos,33.1434,-117.1661,42.13,46,0,4.12,US,1693255798
165,ust-nera,64.5667,143.2,15.99,67,50,0.04,RU,1693256050
166,kruisfontein,-34.0033,24.7314,14.44,49,2,2.21,ZA,1693256050
167,polyarnyy,69.1989,33.4478,10.28,82,100,2.03,RU,1693256050
168,south cleveland,35.1412,-84.8722,30.47,77,62,1.71,US,1693256050
169,abepura,-2.6333,140.5833,24.45,88,20,1.03,ID,1693256050
170,isangel,-19.55,169.2667,21.06,88,100,1.54,VU,1693256050
171,bamboo flat,11.7,92.7167,25.05,94,75,4.63,IN,1693256051
172,remire-montjoly,4.9167,-52.2667,31.02,70,0,5.14,GF,1693256051
173,harstad,68.799,16.5293,16.66,73,98,4.47,NO,1693256051
174,lata,40.1629,-8.3327,18.37,94,64,1.86,PT,1693256051
175,howrah,22.5892,88.3103,29.0,89,20,0.0,IN,1693256051
176,bilibino,68.0546,166.4372,9.04,74,75,1.62,RU,1693256051
177,maputo,-25.9653,32.5892,17.82,68,20,1.54,MZ,1693256051
178,la passe,45.5549,-0.8967,17.77,80,2,5.13,FR,1693256052
179,thompson,55.7435,-97.8558,11.09,100,100,4.12,CA,1693256052
180,afaahiti,-17.75,-149.2833,27.93,91,50,6.98,PF,1693256052
181,aykhal,66.0,111.5,13.28,87,100,2.55,RU,1693256052
182,isafjordur,66.0755,-23.124,9.47,87,39,2.68,IS,1693256052
183,vila do maio,15.1333,-23.2167,28.44,83,100,5.18,CV,1693256053
184,yeppoon,-23.1333,150.7333,14.88,86,6,3.58,AU,1693256053
185,codrington,-38.2667,141.9667,12.39,67,100,4.58,AU,1693256053
186,wad medani,14.4012,33.5199,31.33,50,99,4.05,SD,1693256053
187,asaita,11.5636,41.4394,28.71,51,80,1.99,ET,1693256053
188,vernon,50.2581,-119.2691,32.09,28,3,1.03,CA,1693255914
189,masterton,-40.9597,175.6575,6.05,70,4,0.72,NZ,1693256054
190,aasiaat,68.7098,-52.8699,3.33,94,100,3.75,GL,1693256054
191,sao paulo de olivenca,-3.3783,-68.8725,29.09,67,80,0.83,BR,1693256054
192,sirte,31.2089,16.5887,30.21,57,0,3.52,LY,1693256054
193,warman,52.3168,-106.5679,31.72,32,75,7.2,CA,1693256055
194,puerto ayora,-0.7393,-90.3518,28.98,84,58,3.13,EC,1693256055
195,port mathurin,-19.6833,63.4167,22.63,76,6,9.85,MU,1693256055
196,atafu village,-8.5421,-172.5159,28.09,77,98,7.64,TK,1693256055
197,rawson,-43.3002,-65.1023,14.5,32,84,8.33,AR,1693256055
198,borongan,11.6333,125.4333,26.65,79,100,4.91,PH,1693256056
199,new norfolk,-42.7826,147.0587,8.73,98,52,1.2,AU,1693256056
200,biankouma,7.7391,-7.6138,21.34,97,94,0.59,CI,1693256056
201,nkhotakota,-12.9274,34.2961,20.68,66,44,10.02,MW,1693256056
202,mawlaik,23.6333,94.4167,24.1,100,100,1.0,MM,1693256056
203,lompoc,34.6391,-120.4579,38.34,64,0,7.15,US,1693256057
204,kidal,18.4411,1.4078,32.52,42,60,7.6,ML,1693256057
205,jayapura,-2.5333,140.7,24.66,94,97,1.98,ID,1693256057
206,gisborne,-38.6533,178.0042,7.67,58,0,1.93,NZ,1693256057
